País,Ano,Quantidade (Kg),Valor (US$),Década,Ano_Quantidade,Continente
Africa do Sul,2001,10.661063873251763,11.50491345436005,2000,21332.788810376776,África
Africa do Sul,2002,10.379566439972283,11.574189882074002,2000,20779.89201282451,África
Africa do Sul,2003,11.965528579535796,12.630366050219317,2000,23966.9537448102,África
Africa do Sul,2004,12.623103940009702,13.407695691334597,2000,25296.700295779443,África
Africa do Sul,2005,12.917585146445573,13.561162676269403,2000,25899.758218623374,África
Africa do Sul,2006,12.790718271419069,13.967401257387117,2000,25658.180852466652,África
Africa do Sul,2007,12.864695666841458,14.093327883400486,2000,25819.444203350806,África
Africa do Sul,2008,12.66153671073266,13.956749669656999,2000,25424.365715151183,África
Africa do Sul,2009,13.10845510422093,14.47378157413679,2000,26334.88630437985,África
Africa do Sul,2010,13.781205821572282,15.09662744222927,2010,27700.223701360286,África
Africa do Sul,2011,13.137271694137446,14.574630387059319,2010,26419.053376910404,África
Africa do Sul,2012,13.490234608343664,14.927844933350826,2010,27142.35203198745,África
Africa do Sul,2013,13.071768786235246,14.501222666753115,2010,26313.47056669155,África
Africa do Sul,2014,13.490771616226226,14.925370355588111,2010,27170.41403507962,África
Africa do Sul,2015,13.518903442205703,14.912970182570335,2010,27240.59043604449,África
Africa do Sul,2016,13.268764103771526,14.338004046677945,2010,26749.828433203395,África
Africa do Sul,2017,13.945426798795037,14.991484733345114,2010,28127.92585316959,África
Africa do Sul,2018,13.935117706692136,15.089300054343795,2010,28121.06753210473,África
Africa do Sul,2019,13.9035608118011,15.097565718961471,2010,28071.28927902642,África
Africa do Sul,2020,13.348942619966419,14.346769786388942,2020,26964.864092332165,África
Africa do Sul,2021,13.663722085926036,14.735052399250351,2020,27614.38233565652,África
Africa do Sul,2022,13.51185762760238,14.633892055415888,2020,27320.976123012013,África
Africa do Sul,2023,13.166828009457568,14.36527858692871,2020,26636.49306313266,África
Alemanha,1970,10.864713408404029,10.325449175172755,1970,21403.485414555937,Europa
Alemanha,1971,10.451811252722203,10.166928160614875,1970,20600.519979115463,Europa
Alemanha,1972,11.808865843548956,11.4306736523535,1970,23287.083443478543,Europa
Alemanha,1973,11.621995093356848,11.499221999911736,1970,22930.19631919306,Europa
